Name,Current Price,Unit Price,Original Price
 Large Hass Avocado ,$2.50, $2.50 / Each 
 Primal Kitchen Avocado Oil Pas... edo No Dairy - 16 Oz ,$8.99, $0.56 / Ounce 
 Signature Farms Hass Avocados Prepacked Bag - 5 Count ,$5.99, $1.20 / Count 
 Taylor Farms Avocado Ranch Chopped Salad Kit - 12.8 Oz ,$3.33, $0.26 / Ounce ,$3.99
 Organic Hass Avocado ,$2.00, $2.00 / Each ,$2.99
 O Organics Organic Avocados Prepacked Bag - 4 Count ,$6.99, $1.75 / Count 
 Wholly Avocado Mini Guacamole - 8 Oz ,$5.99, $0.75 / Ounce 
 Tostitos Salsa Dip Avocado - 15 Oz ,$3.99, $0.27 / Ounce 
 Signature SELECT Oil Avocado 100% - 25.4 Fl. Oz. ,$11.99, $0.47 / Fl.oz 
 Bolthouse Farms Cilantro Avoca... ressing - 14 Fl. Oz. ,$3.99, $0.29 / Fl.oz 
 Primal Kitchen Oil Avocado - 16.9 Fl. Oz. ,$13.99, $0.83 / Fl.oz 
 Triscuit Crackers Wheat Whole... ntro & Lime - 8.5 Oz ,$3.33, $0.39 / Ounce ,$4.49
 Primal Kitchen Mayo Avocado Oil - 12 Oz ,$9.99, $0.83 / Fl.oz 
 Sabra Avocado Spread With Toast - 2.7 Oz ,$4.99, $1.85 / Ounce 
 California Olive Ranch Oil Blend Avocado - 750 Ml ,$14.99, $0.59 / Fl.oz ,$18.99
 Ready Pac Bistro Bowl Chicken Queso Fresco - 6.5 Oz ,$3.99, $0.61 / Ounce 
 Signature Select Cooking Spray Avocado Oil - 5 Fl. Oz. ,$4.49, $0.90 / Fl.oz 
 Casa Sanchez Taqueria Avocado Salsa - 15 Oz ,$5.99, $0.40 / Ounce 
 Garnier Hair Trtmt Avocado - 3.4 Fl. Oz. ,$4.49, $1.32 / Fl.oz ,$4.99
 Hope Organic Spicy Avocado Hummus - 15 Oz ,$4.99, $0.33 / Ounce ,$6.99
 Hidden Valley The Original Ran... Avocado - 16 Fl. Oz. ,$3.99, $0.25 / Fl.oz ,$4.49
 Maries Salad Dressing Real Pre... blano - 11.5 Fl. Oz. ,$3.00, $0.26 / Ounce ,$3.99
 Happy Baby Organics Bananas Pi... ado & Granola - 4 Oz ,$1.50, $0.38 / Ounce ,$1.79
 La Tourangelle Oil Avocado - 16.9 Fl. Oz. ,$11.99, $0.71 / Fl.oz 
 Primal Kitchen Oil Avocado Spray - 4.7 Oz ,$7.99, $1.33 / Ounce 
 Chosen Foods Avocado Oil - 16.9 Fl. Oz. ,$12.99, $0.77 / Fl.oz 
 Aussie Miracle Moist Shampoo W... a Oil - 26.2 Fl. Oz. ,$6.49, $0.25 / Fl.oz ,$6.99
 Primal Kitchen Mayonnaise Garlic Aioli Avocado Oil - 12 Oz ,$9.99, $0.83 / Fl.oz 
 Sir Kensingtons Avocado Mayo - 12 OZ ,$9.49, $0.79 / Ounce 
 Signature Select Oil Avocado R... c Flavored - 25.4 OZ ,$10.99, $0.43 / Ounce ,$11.99
